Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
115.156.142.9,112.19.142.120,6,54846,443,432,2545.674
115.156.141.9,69.234.251.221,6,39544,9339,427,2545.675
180.130.97.37,183.95.73.92,6,80,60721,425,2545.943
58.19.27.19,123.125.107.20,6,41352,8081,423,2546.019
111.48.138.111,183.95.73.63,6,443,57764,423,2546.108
220.197.33.194,183.94.22.38,6,443,46022,417,2546.271
182.50.15.44,115.156.141.144,6,8080,52906,414,2546.351
183.95.73.54,103.235.46.115,6,10122,80,404,2546.387
103.107.217.66,115.156.143.125,6,443,50056,404,2546.399
115.156.143.162,17.57.145.137,6,55657,5223,403,2546.444
58.19.27.26,112.80.130.239,6,50631,65010,401,2546.572
192.144.148.85,183.94.22.74,6,7824,53798,398,2546.587
119.45.249.52,183.95.73.20,6,443,38036,398,2546.778
115.156.142.214,43.142.215.95,6,49908,443,398,2546.819
101.207.203.117,218.106.117.231,17,21176,6683,397,2546.997
115.156.143.145,59.78.211.251,6,45614,443,396,2547.175
175.27.0.15,115.156.142.166,6,8080,53288,390,2547.332
220.197.31.37,183.95.73.10,6,443,45014,386,2547.332
202.89.233.100,115.156.141.221,6,443,42724,385,2547.769
115.156.143.118,1.13.12.27,17,54113,443,384,2547.819
183.95.220.132,183.95.73.72,6,443,43296,382,2547.958
111.162.130.203,218.106.117.236,17,23588,18000,381,2548.459
157.148.61.140,183.94.22.10,6,443,4227,378,2548.471
115.156.143.129,36.151.65.216,6,52882,23981,376,2548.505
42.186.104.58,115.156.143.115,6,11201,5398,376,2548.608
211.67.22.28,39.105.251.195,6,56782,443,376,2548.711
43.137.152.228,115.156.141.28,6,80,60946,374,2548.893
183.94.22.13,140.206.195.190,17,49434,49341,372,2549.202
220.197.31.37,183.95.73.10,6,443,45012,371,2549.421
115.156.141.61,202.90.108.64,6,54832,443,370,2549.618
115.156.144.183,43.137.129.111,6,55606,443,369,2549.786
218.197.231.6,117.34.84.12,6,55754,443,368,2549.955
116.162.203.111,183.95.73.23,6,443,45974,367,2550.316
157.0.146.98,183.95.73.74,6,443,45970,365,2550.668
210.42.68.2,115.156.141.24,6,80,40016,363,2550.681
115.156.144.69,183.228.34.253,17,60949,11790,363,2550.748
115.156.143.209,58.205.214.157,6,43744,80,363,2550.912
113.206.177.74,183.95.73.10,17,12345,43590,360,2551.07
111.172.236.82,115.156.141.66,6,80,49502,360,2551.154
119.97.181.246,183.95.73.48,6,80,61676,360,2551.202
183.94.22.62,122.189.237.8,6,46902,443,360,2551.456
121.194.11.73,115.156.143.70,6,443,57965,359,2551.664
115.156.142.222,81.69.116.86,17,33666,443,358,2551.86
111.206.4.177,183.95.73.10,17,8000,43590,358,2551.931
222.20.98.98,47.113.5.1,6,59418,443,356,2552.053
115.156.142.175,210.42.68.3,6,40434,80,354,2552.461
112.192.155.196,183.95.73.73,1,,,350,2552.606
1.49.235.98,183.94.22.24,6,35053,56060,350,2552.664
43.141.70.189,115.156.141.153,6,80,19935,348,2552.679
2.16.185.203,115.156.141.57,17,443,54275,344,2552.865
